"DisplayName","Direction","Action","Enabled","Profile"
"Network Discovery (UPnP-Out)","Outbound","Allow","True","Public"
"Wi-Fi Direct Spooler Use (Out)","Outbound","Allow","True","Public"
"Remote Assistance (TCP-Out)","Outbound","Allow","False","Public"
"Network Discovery (SSDP-Out)","Outbound","Allow","True","Private"
"Network Discovery (WSD Events-Out)","Outbound","Allow","True","Private"
"Remote Event Log Management (NP-In)","Inbound","Allow","False","Domain"
"Remote Scheduled Tasks Management (RPC)","Inbound","Allow","False","Domain"
"Wi-Fi Direct Spooler Use (In)","Inbound","Allow","True","Public"
"Remote Assistance (TCP-Out)","Outbound","Allow","True","Domain, Private"
"Distributed Transaction Coordinator (TCP-Out)","Outbound","Allow","False","Private, Public"
"Routing and Remote Access (L2TP-Out)","Outbound","Allow","False","Any"
"Core Networking - Packet Too Big (ICMPv6-Out)","Outbound","Allow","True","Any"
"Connected Devices Platform (UDP-Out)","Outbound","Allow","True","Domain, Private"
"Windows Collaboration Computer Name Registration Service (PNRP-In)","Inbound","Allow","False","Any"
"Network Discovery (NB-Name-Out)","Outbound","Allow","True","Public"
"Network Discovery (NB-Datagram-Out)","Outbound","Allow","True","Public"
"Windows Peer to Peer Collaboration Foundation (WSD-In)","Inbound","Allow","False","Any"
"Remote Event Log Management (RPC)","Inbound","Allow","False","Private, Public"
"Core Networking - IPv6 (IPv6-In)","Inbound","Allow","True","Any"
"Connected Devices Platform - Wi-Fi Direct Transport (TCP-Out)","Outbound","Allow","True","Public"
"Network Discovery (LLMNR-UDP-In)","Inbound","Allow","True","Domain, Public"
"Remote Event Log Management (NP-In)","Inbound","Allow","False","Private, Public"
"SNMP Trap Service (UDP In)","Inbound","Allow","False","Private, Public"
"mDNS (UDP-Out)","Outbound","Allow","True","Domain"
"Delivery Optimization (UDP-In)","Inbound","Allow","True","Any"
"Core Networking - Parameter Problem (ICMPv6-Out)","Outbound","Allow","True","Any"
"Core Networking - Router Advertisement (ICMPv6-In)","Inbound","Allow","True","Any"
"Core Networking - Destination Unreachable Fragmentation Needed (ICMPv4-In)","Inbound","Allow","True","Any"
"Core Networking - Dynamic Host Configuration Protocol (DHCP-In)","Inbound","Allow","True","Any"
"Network Discovery (WSD-In)","Inbound","Allow","True","Private"
"Routing and Remote Access (GRE-In)","Inbound","Allow","False","Any"
"TPM Virtual Smart Card Management (DCOM-In)","Inbound","Allow","False","Domain"
"Core Networking - Dynamic Host Configuration Protocol for IPv6(DHCPV6-In)","Inbound","Allow","True","Any"
"Distributed Transaction Coordinator (RPC)","Inbound","Allow","False","Private, Public"
"Network Discovery for Teredo (SSDP-In)","Inbound","Allow","True","Public"
"iSCSI Service (TCP-Out)","Outbound","Allow","False","Private, Public"
"Network Discovery (UPnPHost-Out)","Outbound","Allow","True","Domain, Public"
"Connected Devices Platform (TCP-Out)","Outbound","Allow","True","Domain, Private"
"Distributed Transaction Coordinator (RPC-EPMAP)","Inbound","Allow","False","Domain"
"Wi-Fi Direct Scan Service Use (In)","Inbound","Allow","True","Public"
"Remote Assistance (PNRP-Out)","Outbound","Allow","False","Public"
"Network Discovery (WSD-In)","Inbound","Allow","True","Private"
"Core Networking - Router Solicitation (ICMPv6-Out)","Outbound","Allow","True","Any"
"Remote Assistance (SSDP UDP-Out)","Outbound","Allow","True","Domain, Private"
"Remote Assistance (SSDP TCP-Out)","Outbound","Allow","True","Domain, Private"
"Network Discovery (WSD Events-In)","Inbound","Allow","True","Private"
"Core Networking - Neighbor Discovery Solicitation (ICMPv6-In)","Inbound","Allow","True","Any"
"Remote Event Monitor (RPC-EPMAP)","Inbound","Allow","False","Any"
"Remote Assistance (DCOM-In)","Inbound","Allow","True","Domain"
"Network Discovery (UPnP-Out)","Outbound","Allow","True","Private"
"Network Discovery (WSD EventsSecure-In)","Inbound","Allow","True","Private"
"Remote Volume Management (RPC-EPMAP)","Inbound","Allow","False","Private, Public"
"Remote Assistance (RA Server TCP-In)","Inbound","Allow","True","Domain"
"Network Discovery (UPnP-In)","Inbound","Allow","True","Private"
"Remote Event Log Management (RPC-EPMAP)","Inbound","Allow","False","Domain"
"Core Networking - Multicast Listener Report v2 (ICMPv6-Out)","Outbound","Allow","True","Any"
"Core Networking Diagnostics - ICMP Echo Request (ICMPv6-Out)","Outbound","Allow","False","Private, Public"
"Remote Event Monitor (RPC)","Inbound","Allow","False","Any"
"Microsoft Media Foundation Network Source IN [UDP 5004-5009]","Inbound","Allow","True","Any"
"Windows Device Management Enrollment Service (TCP out)","Outbound","Allow","True","Any"
"SNMP Trap Service (UDP In)","Inbound","Allow","False","Domain"
"Windows Management Instrumentation (ASync-In)","Inbound","Allow","False","Private, Public"
"Core Networking Diagnostics - ICMP Echo Request (ICMPv4-Out)","Outbound","Allow","False","Domain"
"mDNS (UDP-Out)","Outbound","Allow","True","Public"
"Windows Management Instrumentation (WMI-In)","Inbound","Allow","False","Private, Public"
"Windows Defender Firewall Remote Management (RPC-EPMAP)","Inbound","Allow","False","Private, Public"
"Performance Logs and Alerts (TCP-In)","Inbound","Allow","False","Private, Public"
"Windows Remote Management (HTTP-In)","Inbound","Allow","False","Public"
"Delivery Optimization (TCP-In)","Inbound","Allow","True","Any"
"Distributed Transaction Coordinator (TCP-Out)","Outbound","Allow","False","Domain"
"Network Discovery (NB-Name-In)","Inbound","Allow","True","Public"
"Virtual Machine Monitoring (RPC)","Inbound","Allow","False","Any"
"Core Networking - Multicast Listener Done (ICMPv6-Out)","Outbound","Allow","True","Any"
"Windows Device Management Certificate Installer (TCP out)","Outbound","Allow","True","Any"
"iSCSI Service (TCP-In)","Inbound","Allow","False","Private, Public"
"Remote Assistance (PNRP-In)","Inbound","Allow","False","Public"
"Routing and Remote Access (PPTP-In)","Inbound","Allow","False","Any"
"Core Networking - Teredo (UDP-Out)","Outbound","Allow","True","Any"
"Remote Volume Management - Virtual Disk Service (RPC)","Inbound","Allow","False","Private, Public"
"TPM Virtual Smart Card Management (TCP-In)","Inbound","Allow","False","Domain"
"Windows Management Instrumentation (WMI-Out)","Outbound","Allow","False","Private, Public"
"Network Discovery (NB-Datagram-In)","Inbound","Allow","True","Domain"
"Virtual Machine Monitoring (DCOM-In)","Inbound","Allow","False","Any"
"Core Networking - Router Solicitation (ICMPv6-In)","Inbound","Allow","True","Any"
"Windows Management Instrumentation (DCOM-In)","Inbound","Allow","False","Private, Public"
